id,token,tag,wiki_id,name,desc
0,Класс,B-TERM,Q4479242,"{'класс (ооп', 'класс (объектно-ориентированный программирование', 'класс', 'класс объект'}","['класс (ооп', 'класс (объектно-ориентированный программирование', 'класс', 'класс объект', 'разновидность абстрактного типа данных в объектно-ориентированном программировании (ООП)']"
1,игр,I-TERM,,,
2,разбиений,I-TERM,,,
3,",",O,,,
4,частным,O,,,
5,случаем,O,,,
6,которого,O,,,
7,являются,O,,,
8,известные,O,,,
9,модели,B-TERM,Q15079592,"{'игра', 'стратегический игра', 'математический игра'}","['игра', 'стратегический игра', 'математический игра', 'математическая модель взаимодействий и плат агентов']"
10,игр,I-TERM,,,
11,",",O,,,
12,такие,O,,,
13,как,O,,,
14,игры,B-TERM,Q15079592,"{'игра', 'стратегический игра', 'математический игра'}","['игра', 'стратегический игра', 'математический игра', 'математическая модель взаимодействий и плат агентов']"
15,полковника,I-TERM,,,
16,Блотто,O,,,
17,и,O,,,
18,игры,B-TERM,Q15079592,"{'игра', 'стратегический игра', 'математический игра'}",математическая модель взаимодействий и плат агентов
19,полковника,O,,,
20,Лотто,O,,,
21,",",O,,,
22,изучается,O,,,
23,как,O,,,
24,экспериментальный,O,,,
25,объект,O,,,
26,.,O,,,
27,Математическое,B-TERM,Q486902,"{'математический моделирование', 'математический модель'}","['математический моделирование', 'математический модель', 'модель для предсказания численных характеристик']"
28,моделирование,I-TERM,,,
29,игр,I-TERM,,,
30,",",O,,,
31,в,O,,,
32,которых,O,,,
33,игроки,B-TERM,Q18536342,{'игрок'},человек-участник какой-либо игры
34,обладают,O,,,
35,заранее,O,,,
36,заданными,O,,,
37,подмножествами,O,,,
38,чистых,B-TERM,Q1546627,"{'стратегия в теория игра', 'стратегия'}","['стратегия в теория игра', 'стратегия', 'полный план действий игрока при всевозможных ситуациях, способных возникнуть']"
39,стратегий,I-TERM,,,
40,",",O,,,
41,позволяет,O,,,
42,оценить,O,,,
43,«,O,,,
44,способности,B-TERM,Q1347367,{'способность'},деятельностное свойство человека
45,к,O,,,
46,выигрышу,O,,,
47,»,O,,,
48,различных,B-TERM,Q1546627,"{'стратегия в теория игра', 'стратегия'}","['стратегия в теория игра', 'стратегия', 'полный план действий игрока при всевозможных ситуациях, способных возникнуть']"
49,подклассов,I-TERM,,,
50,чистых,I-TERM,,,
51,стратегий,I-TERM,,,
52,.,O,,,
53,Изучены,O,,,
54,постановки,B-TERM,Q15079592,"{'игра', 'стратегический игра', 'математический игра'}","['игра', 'стратегический игра', 'математический игра', 'математическая модель взаимодействий и плат агентов']"
55,игр,I-TERM,,,
56,разбиений,O,,,
57,",",O,,,
58,в,O,,,
59,которых,O,,,
60,целью,B-TERM,Q18536342,{'игрок'},"['игрок', 'человек-участник какой-либо игры']"
61,игрока,I-TERM,,,
62,является,O,,,
63,гарантированный,O,,,
64,выигрыш,O,,,
65,.,O,,,
66,Приведены,O,,,
67,оценки,O,,,
68,информированности,O,,,
69,игрока,B-TERM,Q24114117,"{'профессиональный игрок', 'игрок'}","человек, который играет в азартные игры на профессиональном или развлекательном уровне"
70,",",O,,,
71,необходимой,O,,,
72,для,O,,,
73,гарантированного,O,,,
74,выигрыша,O,,,
75,.,O,,,
76,Рассмотрены,O,,,
77,варианты,O,,,
78,онлайн,O,,,
79,игр,B-TERM,Q15079592,"{'игра', 'стратегический игра', 'математический игра'}",математическая модель взаимодействий и плат агентов
80,разбиений,O,,,
81,и,O,,,
82,предложены,O,,,
83,конкурентные,B-TERM,Q8366,{'алгоритм'},"['алгоритм', 'набор инструкций, описывающих порядок действий исполнителя для достижения результата решения задачи']"
84,алгоритмы,I-TERM,,,
85,для,O,,,
86,ряда,O,,,
87,постановок,O,,,
88,таких,O,,,
89,игр,B-TERM,Q11422,"{'игра', 'игрушка'}","предмет, предназначенный для игры"
90,.,O,,,
