id,token,tag,wiki_id,name,desc
0,В,O,,,
1,последние,O,,,
2,годы,O,,,
3,стремительно,O,,,
4,растет,O,,,
5,околонаучный,O,,,
6,бизнес,B-TERM,Q3908516,"{'коммерческий деятельность', 'предпринимательство', 'бизнес', 'предпринимательский деятельность'}",экономическая деятельность по удовлетворению потребительского спроса
7,",",O,,,
8,который,O,,,
9,включает,O,,,
10,в,O,,,
11,себя,O,,,
12,конвейеры,O,,,
13,по,O,,,
14,производству,B-TERM,Q5978719,{'диплом'},"['диплом', 'учёная степень в немецкоязычных странах']"
15,дипломов,I-TERM,,,
16,и,O,,,
17,ученых,B-TERM,Q15811255,"{'научный степень', 'ученый степень'}","звание, подтверждающее определённый уровень именно в науке"
18,степеней,I-TERM,,,
19,",",O,,,
20,мошеннические,O,,,
21,«,O,,,
22,научные,O,,,
23,»,O,,,
24,издания,O,,,
25,(,O,,,
26,журналы,O,,,
27,-,O,,,
28,хищники,O,,,
29,),O,,,
30,",",O,,,
31,псевдонаучные,O,,,
32,мероприятия,O,,,
33,.,O,,,
34,В,O,,,
35,сети,O,,,
36,недобросовестных,O,,,
37,бизнесменов,O,,,
38,от,O,,,
39,науки,B-TERM,Q915319,"{'наука', 'многофункциональный лабораторный модуль', 'нау?ка'}",один из предполагаемых модулей МКС
40,в,O,,,
41,основном,O,,,
42,попадают,O,,,
43,ученые,O,,,
44,из,O,,,
45,развивающихся,B-TERM,Q177323,"{'экономически развиваться страна', 'развиваться страна', 'развивающийся страна'}",американский деятель кино
46,стран,I-TERM,,,
47,и,O,,,
48,некоторых,O,,,
49,бывших,O,,,
50,республик,O,,,
51,СССР,O,,,
52,.,O,,,
53,В,O,,,
54,статье,O,,,
55,проводится,O,,,
56,анализ,B-TERM,Q7754,"{'матанализ', 'математический анализ', 'анализ'}","['матанализ', 'математический анализ', 'анализ', 'современный раздел математики']"
57,современного,I-TERM,,,
58,состояния,I-TERM,,,
59,недобросовестного,I-TERM,,,
60,сегмента,I-TERM,,,
61,науки,I-TERM,,,
62,.,O,,,
