id,token,tag,wiki_id,name,desc
0,В,O,,,
1,статье,O,,,
2,рассмотрены,O,,,
3,основные,O,,,
4,задачи,B-TERM,Q1500849,{'государственный регулирование экономика'},['государственный регулирование экономика']
5,государственного,I-TERM,,,
6,регулирования,I-TERM,,,
7,экономики,I-TERM,,,
8,в,O,,,
9,посткризисном,O,,,
10,периоде,O,,,
11,.,O,,,
12,В,O,,,
13,частности,O,,,
14,",",O,,,
15,выявлена,O,,,
16,необходимость,O,,,
17,совершенствования,O,,,
18,налогового,B-TERM,Q30970519,{'налоговый администрирование'},украинская историография
19,администрирования,I-TERM,,,
20,в,O,,,
21,Российской,O,,,
22,Федерации,O,,,
23,",",O,,,
24,ориентированного,O,,,
25,на,O,,,
26,стимулирование,B-TERM,Q739302,"{'производство', 'продукция'}","['производство', 'продукция', 'процесс создания товаров и услуг']"
27,развития,I-TERM,,,
28,производства,I-TERM,,,
29,",",O,,,
30,увеличения,B-TERM,Q796194,"{'медицинский процедура', 'операция', 'процедура', 'медицинский операция'}","['медицинский процедура', 'операция', 'процедура', 'медицинский операция', 'порядок действий, направленных на достижение результата в плане оказания помощи людям, у которых проблемы со здоровьем']"
31,экспортных,I-TERM,,,
32,операций,I-TERM,,,
33,высокотехнологичной,I-TERM,,,
34,продукции,I-TERM,,,
35,с,O,,,
36,одновременным,O,,,
37,упрощением,O,,,
38,таможенных,O,,,
39,процедур,O,,,
40,и,O,,,
41,иных,O,,,
42,административных,O,,,
43,ограничений,O,,,
44,при,O,,,
45,экспорте,O,,,
46,",",O,,,
47,развитие,B-TERM,Q163059,"{'тыловой обесп?чение', 'тыл вооруженный сила', 'снабжение', 'военный логистика', 'обеспечение', 'тыловой обеспечение'}","['тыловой обесп?чение', 'тыл вооруженный сила', 'снабжение', 'военный логистика', 'обеспечение', 'тыловой обеспечение', 'сис\xadте\xadма ор\xadга\xadнов управ\xadле\xadния, сил и средств, пред\xadна\xadзна\xadчен\xadных для ты\xadло\xadво\xadго и тех\xadнического обес\xadпе\xadче\xadния воо\xadружённых сил']"
48,информационного,I-TERM,,,
49,обеспечения,I-TERM,,,
50,и,O,,,
51,повышение,O,,,
52,согласованности,B-TERM,Q451967,"{'мотивированный поступок', 'действие', 'действие человек', 'мотивированный поведение', 'человеческий действие'}","['мотивированный поступок', 'действие', 'действие человек', 'мотивированный поведение', 'человеческий действие', 'единица деятельности, целенаправленная преднамеренная активность, осуществляемая субъектом деятельности произвольно']"
53,действий,I-TERM,,,
54,администрирующих,I-TERM,,,
55,органов,I-TERM,,,
56,.,O,,,
57,Обосновывается,O,,,
58,необходимость,O,,,
59,тарифной,O,,,
60,защиты,O,,,
61,в,O,,,
62,отношении,O,,,
63,недорогих,O,,,
64,отечественных,B-TERM,Q1836700,"{'промышленный продукт', 'продукт производство', 'промышленный товар'}","['промышленный продукт', 'продукт производство', 'промышленный товар', 'то, что произведено из сырья в противовес сырью']"
65,промышленных,I-TERM,,,
66,товаров,I-TERM,,,
67,",",O,,,
68,которые,O,,,
69,производятся,O,,,
70,в,O,,,
71,достаточном,O,,,
72,количестве,O,,,
73,российскими,O,,,
74,предприятиями,B-TERM,Q6881511,{'предприятие'},"самостоятельный, организационно-обособленный хозяйствующий субъект с правами юридического лица, который производит и сбывает товар"
75,и,O,,,
76,обеспечивают,O,,,
77,спрос,B-TERM,Q4402708,{'спрос'},страница значений в проекте Викимедиа
78,внутри,O,,,
79,страны,O,,,
80,.,O,,,
81,Ставки,O,,,
82,по,O,,,
83,более,O,,,
84,дорогим,O,,,
85,товарам,B-TERM,Q1485500,{'товар'},"предмет торговли; не услуга, обязательно материальное"
86,должны,O,,,
87,сохраняться,O,,,
88,невысокими,O,,,
89,",",O,,,
90,что,O,,,
91,должно,O,,,
92,способствовать,O,,,
93,сохранению,B-TERM,Q4330556,"{'объем', 'объем (геометрия'}","['объем', 'объем (геометрия', 'аддитивная функция от множества (мера), характеризующая вместимость области пространства, которую оно занимает']"
94,объема,I-TERM,,,
95,импорта,I-TERM,,,
96,и,O,,,
97,обеспечить,O,,,
98,определенные,O,,,
99,конкурентные,O,,,
100,условия,O,,,
101,.,O,,,
102,Важнейшее,O,,,
103,значение,O,,,
104,приобретает,O,,,
105,реформирование,B-TERM,Q3072997,{'налоговый система'},['налоговый система']
106,налоговой,I-TERM,,,
107,системы,I-TERM,,,
108,",",O,,,
109,которое,O,,,
110,включает,O,,,
111,вопросы,O,,,
112,",",O,,,
113,связанные,O,,,
114,со,O,,,
115,снижением,B-TERM,Q1148747,"{'обязательный платеж', 'уплата', 'наличный расчет', 'оплата', 'платеж'}","['обязательный платеж', 'уплата', 'наличный расчет', 'оплата', 'платеж']"
116,платежей,I-TERM,,,
117,в,O,,,
118,государственные,O,,,
119,внебюджетные,O,,,
120,фонды,O,,,
121,.,O,,,
