id,token,tag,wiki_id,name,desc
0,В,O,,,
1,статье,O,,,
2,рассмотрен,O,,,
3,алгоритм,O,,,
4,создания,B-TERM,Q900806,"{'модель стюарт-бриглеб', 'полусферический модель', 'объемный модель', 'модель заполнение пространство'}","['модель стюарт-бриглеб', 'полусферический модель', 'объемный модель', 'модель заполнение пространство', 'молекулярная модель']"
5,виртуальной,I-TERM,,,
6,объемной,I-TERM,,,
7,модели,I-TERM,,,
8,в,O,,,
9,системе,B-TERM,Q925667,"{'численный модель', 'численный моделирование', 'компьютерный симуляция', 'компьютерный моделирование', 'компьютерный модель'}","['численный модель', 'численный моделирование', 'компьютерный симуляция', 'компьютерный моделирование', 'компьютерный модель', 'компьютерная программа, воспроизводящая некоторые признаки физического процесса']"
10,трехмерного,I-TERM,,,
11,компьютерного,I-TERM,,,
12,моделирования,I-TERM,,,
13,Autodesk,I-TERM,,,
14,Inventor,I-TERM,,,
15,",",O,,,
16,объясняющей,O,,,
17,применение,O,,,
18,способа,B-TERM,Q13415428,{'проекция'},"['проекция', 'геометрическое понятие']"
19,замены,I-TERM,,,
20,плоскостей,I-TERM,,,
21,проекций,I-TERM,,,
22,.,O,,,
23,Электронные,B-TERM,Q1979154,"{'научный модель', 'эвристический модель', 'параметрический модель', 'структурный модель', 'формализация', 'модель принцип действие', 'модель', 'функционально-физический схема', 'функциональный модель'}","['научный модель', 'эвристический модель', 'параметрический модель', 'структурный модель', 'формализация', 'модель принцип действие', 'модель', 'функционально-физический схема', 'функциональный модель', 'упрощённое представление действительности для экспериментов']"
24,модели,I-TERM,,,
25,помогают,O,,,
26,мысленно,O,,,
27,преобразовать,O,,,
28,информацию,O,,,
29,в,O,,,
30,двумерном,O,,,
31,измерении,B-TERM,Q12453,{'измерение'},определение числового значения физической величины
32,в,O,,,
33,трехмерный,O,,,
34,образ,B-TERM,Q11795009,"{'изображение', 'образ', 'образ объект', 'образ (информация'}",страница значений в проекте Викимедиа
35,и,O,,,
36,наоборот,O,,,
37,—,O,,,
38,трехмерный,O,,,
39,образ,B-TERM,Q11795009,"{'изображение', 'образ', 'образ объект', 'образ (информация'}",страница значений в проекте Викимедиа
40,в,O,,,
41,двумерное,O,,,
42,изображение,O,,,
43,.,O,,,
44,Решение,O,,,
45,графические,O,,,
46,задач,O,,,
47,в,O,,,
48,пространстве,O,,,
49,облегчает,O,,,
50,процесс,B-TERM,Q205663,"{'процесс (информатика', 'процесс', 'вычислительный процесс'}",конкретный экземпляр вычислений на компьютере
51,установления,O,,,
52,содержания,O,,,
53,и,O,,,
54,последовательности,O,,,
55,тех,O,,,
56,пространственных,B-TERM,Q796194,"{'медицинский процедура', 'операция', 'процедура', 'медицинский операция'}","['медицинский процедура', 'операция', 'процедура', 'медицинский операция', 'порядок действий, направленных на достижение результата в плане оказания помощи людям, у которых проблемы со здоровьем']"
57,операций,I-TERM,,,
58,",",O,,,
59,при,O,,,
60,помощи,O,,,
61,которых,O,,,
62,определяются,O,,,
63,искомые,O,,,
64,элементы,O,,,
65,.,O,,,
