id,token,tag,wiki_id,name,desc
0,В,O,,,
1,статье,O,,,
2,предложены,O,,,
3,алгоритмы,B-TERM,Q48612,"{'синтетический язык', 'синтез'}","['синтетический язык', 'синтез', 'типологический класс языков, в которых преобладают синтетические формы выражения грамматических значений']"
4,синтеза,I-TERM,,,
5,и,O,,,
6,анализа,B-TERM,Q9252,"{'казахский язык', 'по-казахски', 'казахский'}","['казахский язык', 'по-казахски', 'казахский', 'один из тюркских языков, государственный язык Казахстана']"
7,словоформ,I-TERM,,,
8,казахского,I-TERM,,,
9,языка,I-TERM,,,
10,",",O,,,
11,основанные,O,,,
12,на,O,,,
13,принципах,O,,,
14,разбиения,O,,,
15,слов,O,,,
16,на,O,,,
17,флективные,O,,,
18,классы,O,,,
19,.,O,,,
20,Поскольку,O,,,
21,казахский,O,,,
22,язык,B-TERM,Q34770,"{'язык', 'конкретный язык', 'идиом', 'язык (конкретный'}",средство общения группы носителей
23,является,O,,,
24,агглютинативным,O,,,
25,",",O,,,
26,подключать,O,,,
27,словарь,O,,,
28,словоформ,O,,,
29,для,O,,,
30,автоматизации,B-TERM,Q1898737,{'морфологический анализ'},['морфологический анализ']
31,морфологического,I-TERM,,,
32,анализа,I-TERM,,,
33,нецелесообразно,O,,,
34,.,O,,,
35,Значительно,O,,,
36,эффективнее,O,,,
37,пользоваться,O,,,
38,словарями,O,,,
39,аффиксов,O,,,
40,и,O,,,
41,наборами,O,,,
42,правил,O,,,
43,.,O,,,
44,В,O,,,
45,процессе,B-TERM,Q205663,"{'процесс (информатика', 'процесс', 'вычислительный процесс'}","['процесс (информатика', 'процесс', 'вычислительный процесс', 'конкретный экземпляр вычислений на компьютере']"
46,исследования,I-TERM,,,
47,была,O,,,
48,построена,O,,,
49,морфологическая,O,,,
50,модель,B-TERM,Q193946,"{'абстрактный модель', 'модель', 'научный модель'}","['абстрактный модель', 'модель', 'научный модель', 'модель, отражающая лишь самые общие характеристики моделируемого явления']"
51,казахского,I-TERM,,,
52,языка,B-TERM,Q86852367,"{'язык', 'нэсг/язык'}",статья в Настольном энциклопедическом словаре
53,и,O,,,
54,созданы,O,,,
55,словари,O,,,
56,",",O,,,
57,включающие,O,,,
58,в,O,,,
59,себя,O,,,
60,около,O,,,
61,3500,O,,,
62,аффиксов,O,,,
63,и,O,,,
64,их,O,,,
65,комбинаций,O,,,
66,(,O,,,
67,вариантов,O,,,
68,окончаний,O,,,
69,),O,,,
70,для,O,,,
71,14,O,,,
72,флективных,O,,,
73,классов,O,,,
74,существительных,O,,,
75,и,O,,,
76,около,O,,,
77,2000,O,,,
78,глагольных,O,,,
79,аффиксов,O,,,
80,и,O,,,
81,их,O,,,
82,комбинаций,O,,,
83,для,O,,,
84,17,O,,,
85,флективных,O,,,
86,классов,O,,,
87,(,O,,,
88,некоторые,O,,,
89,сочетания,O,,,
90,аффиксов,O,,,
91,повторяются,O,,,
92,),O,,,
93,.,O,,,
94,Такой,O,,,
95,объем,B-TERM,Q4330556,"{'объем', 'объем (геометрия'}","['объем', 'объем (геометрия', 'аддитивная функция от множества (мера), характеризующая вместимость области пространства, которую оно занимает']"
96,словарей,I-TERM,,,
97,является,O,,,
98,достаточным,O,,,
99,для,O,,,
100,того,O,,,
101,",",O,,,
102,чтобы,O,,,
103,осуществлять,O,,,
104,анализ,B-TERM,Q234460,"{'текстовой информация', 'напечатать произведение', 'текст', 'письменный работа', 'письменный произведение'}","['текстовой информация', 'напечатать произведение', 'текст', 'письменный работа', 'письменный произведение', 'связная и полная последовательность символов']"
105,текстов,I-TERM,,,
106,любой,O,,,
107,тематической,B-TERM,Q87027298,"{'принадлежность', 'эсг/принадлежность'}","['принадлежность', 'эсг/принадлежность', 'статья в энциклопедическом словаре Гранат']"
108,принадлежности,I-TERM,,,
109,.,O,,,
110,Предлагаемые,O,,,
111,алгоритмы,O,,,
112,могут,O,,,
113,применяться,O,,,
114,на,O,,,
115,этапе,B-TERM,Q1898737,{'морфологический анализ'},['морфологический анализ']
116,морфологического,I-TERM,,,
117,анализа,I-TERM,,,
118,в,O,,,
119,поисковых,B-TERM,Q19541,"{'поисковый система', 'search engine', 'поисковый машина', 'поисковый движок', 'поисковый сервер', 'поисковик', 'поисковый программа'}",программное обеспечение для сбора и поиска информации
