id,token,tag,wiki_id,name,desc
0,Большинство,B-TERM,Q121182,"{'документальный система', 'иса', 'иса - информационный система', 'автоматизированный информационный система', 'инфосистема', 'государственный информационный система', 'документальный информационный система', 'информационный система'}","['документальный система', 'иса', 'иса - информационный система', 'автоматизированный информационный система', 'инфосистема', 'государственный информационный система', 'документальный информационный система', 'информационный система', 'система для хранения, поиска и обработки информации']"
1,крупных,I-TERM,,,
2,информационных,I-TERM,,,
3,систем,I-TERM,,,
4,и,O,,,
5,программных,B-TERM,Q2429814,"{'программный система', 'комплекс программа', 'система программный обеспечение', 'программный комплекс'}",вид насекомых
6,комплексов,I-TERM,,,
7,используют,O,,,
8,реляционные,B-TERM,Q192588,"{'реляционный база данные', 'реляционный бд'}","территория, от которой избирается выборное должностное лицо"
9,базы,I-TERM,,,
10,данных,I-TERM,,,
11,для,O,,,
12,хранения,B-TERM,Q42848,"{'информация', 'данные'}","['информация', 'данные', 'факты, представленные для обработки']"
13,информации,I-TERM,,,
14,.,O,,,
15,Разнообразие,O,,,
16,запросов,O,,,
17,на,O,,,
18,чтение,B-TERM,Q11028,"{'информация', 'сведение'}","['информация', 'сведение', 'сведения, не зависящие от формы их представления']"
19,информации,I-TERM,,,
20,от,O,,,
21,клиентских,O,,,
22,приложений,O,,,
23,делает,O,,,
24,задачу,O,,,
25,выбора,B-TERM,Q8513,{'база данные'},"['база данные', 'систематизированное собрание данных']"
26,структуры,I-TERM,,,
27,базы,I-TERM,,,
28,данных,I-TERM,,,
29,весьма,O,,,
30,трудоемкой,O,,,
31,и,O,,,
32,требующей,O,,,
33,применения,B-TERM,Q4751159,"{'метод анализ', 'аналитический метод'}","['метод анализ', 'аналитический метод', 'в химии']"
34,формальных,I-TERM,,,
35,методов,I-TERM,,,
36,анализа,I-TERM,,,
37,статистики,I-TERM,,,
38,запросов,I-TERM,,,
39,посвящена,O,,,
40,разработке,O,,,
41,методики,O,,,
42,реструктуризации,B-TERM,Q121182,"{'документальный система', 'иса', 'иса - информационный система', 'автоматизированный информационный система', 'инфосистема', 'государственный информационный система', 'документальный информационный система', 'информационный система'}","['документальный система', 'иса', 'иса - информационный система', 'автоматизированный информационный система', 'инфосистема', 'государственный информационный система', 'документальный информационный система', 'информационный система', 'система для хранения, поиска и обработки информации']"
43,табличных,I-TERM,,,
44,структур,I-TERM,,,
45,данных,I-TERM,,,
46,крупных,I-TERM,,,
47,информационных,I-TERM,,,
48,систем,I-TERM,,,
49,на,O,,,
50,основе,B-TERM,Q622825,"{'кластерный анализ', 'кластеризация'}","['кластерный анализ', 'кластеризация', 'разбиение на подсистемы']"
51,кластерного,I-TERM,,,
52,анализа,I-TERM,,,
53,статистики,I-TERM,,,
54,запросов,I-TERM,,,
55,.,O,,,
56,Для,O,,,
57,формализации,B-TERM,Q2088941,{'предметный область'},['предметный область']
58,предметной,I-TERM,,,
59,области,I-TERM,,,
60,выделены,O,,,
61,параметры,B-TERM,Q1413083,{'параметр'},"переменная выражения, связываемая первой;величина, значения которой служат для различения групп элементов некоторого множества между собой (следует отличать от идентификатора отдельного элемента)"
62,и,O,,,
63,множества,O,,,
64,",",O,,,
65,влияющие,O,,,
66,на,O,,,
67,скорость,O,,,
68,обработки,O,,,
69,запросов,O,,,
70,",",O,,,
71,на,O,,,
72,чтение,O,,,
73,информации,O,,,
74,к,O,,,
75,исследуемой,O,,,
76,таблице,B-TERM,Q59138835,"{'база данные', 'база из данные'}","['база данные', 'база из данные']"
77,базы,I-TERM,,,
78,данных,I-TERM,,,
79,.,O,,,
80,Рассмотрены,O,,,
81,существующие,O,,,
82,подходы,O,,,
83,к,O,,,
84,повышению,B-TERM,Q8513,{'база данные'},"['база данные', 'систематизированное собрание данных']"
85,производительности,I-TERM,,,
86,баз,I-TERM,,,
87,данных,I-TERM,,,
88,.,O,,,
89,Сформулирована,O,,,
90,задача,B-TERM,Q141495,"{'теория оптимизация', 'оптимизация (математика', 'оптимизация', 'задача оптимизация'}","['теория оптимизация', 'оптимизация (математика', 'оптимизация', 'задача оптимизация', 'выбор наилучшего решения; задача нахождения экстремума целевой функции в некоторой области конечномерного вектора']"
91,оптимизации,I-TERM,,,
92,количества,I-TERM,,,
93,блоков,I-TERM,,,
94,данных,I-TERM,,,
95,",",O,,,
96,необходимых,O,,,
97,для,O,,,
98,обработки,O,,,
99,группы,O,,,
100,запросов,O,,,
101,на,O,,,
102,чтение,O,,,
103,информации,O,,,
104,.,O,,,
105,Предложена,O,,,
106,методика,O,,,
107,поиска,O,,,
108,субоптимального,O,,,
109,разбиения,O,,,
110,.,O,,,
