id,token,tag,wiki_id,name,desc
0,Статья,O,,,
1,представляет,O,,,
2,собой,O,,,
3,обзорную,O,,,
4,лекцию,B-TERM,Q603773,{'лекция'},испанский актёр
5,по,O,,,
6,одному,O,,,
7,из,O,,,
8,современных,O,,,
9,направлений,O,,,
10,в,O,,,
11,прикладной,B-TERM,Q33521,{'прикладной математика'},"учреждение, занимающееся сбором, изучением, хранением и экспонированием предметов — памятников истории и культуры"
12,математике,I-TERM,,,
13,",",O,,,
14,получившего,O,,,
15,название,O,,,
16,робастная,B-TERM,Q141495,"{'теория оптимизация', 'оптимизация (математика', 'оптимизация', 'задача оптимизация'}","['теория оптимизация', 'оптимизация (математика', 'оптимизация', 'задача оптимизация', 'выбор наилучшего решения; задача нахождения экстремума целевой функции в некоторой области конечномерного вектора']"
17,оптимизация,I-TERM,,,
18,.,O,,,
19,Настоящее,O,,,
20,электронное,O,,,
21,издание,O,,,
22,включает,O,,,
23,публикуемое,O,,,
24,ниже,O,,,
25,предисловие,B-TERM,Q670787,{'предисловие'},"текст, обычно помещаемый в начале книги или перед другим литературным произведением"
26,",",O,,,
27,подробный,O,,,
28,список,B-TERM,Q1631107,"{'библиографический список', 'список литература', 'библиография'}","список литературы, относящийся к данной теме или автору"
29,литературы,I-TERM,,,
30,",",O,,,
31,посвященный,O,,,
32,истории,B-TERM,Q189756,{'вопрос'},"['вопрос', 'форма мысли, выраженная в основном языке предложением,когда хотят получить интересующую информацию']"
33,вопроса,I-TERM,,,
34,",",O,,,
35,а,O,,,
36,также,O,,,
37,видеозапись,B-TERM,Q34508,"{'видеозапись', 'видеолента', 'видео'}","['видеозапись', 'видеолента', 'видео', 'электронный метод записи, копирования и передачи подвижного визуального материала']"
38,лекции,I-TERM,,,
39,и,O,,,
40,слайды,O,,,
41,",",O,,,
42,размещенные,O,,,
43,на,O,,,
44,странице,O,,,
45,номера,O,,,
46,журнала,O,,,
47,.,O,,,
