id,token,tag,wiki_id,name,desc
0,Представлен,O,,,
1,обзор,O,,,
2,аналитических,O,,,
3,и,O,,,
4,численных,B-TERM,Q24262840,{'численный метод'},методы решения математических задач в численном виде
5,методов,I-TERM,,,
6,для,O,,,
7,решения,O,,,
8,задачи,B-TERM,Q486902,"{'математический моделирование', 'математический модель'}","['математический моделирование', 'математический модель', 'модель для предсказания численных характеристик']"
9,идентификации,I-TERM,,,
10,математических,I-TERM,,,
11,моделей,I-TERM,,,
12,объектов,I-TERM,,,
13,и,O,,,
14,процессов,B-TERM,Q205663,"{'процесс (информатика', 'процесс', 'вычислительный процесс'}",конкретный экземпляр вычислений на компьютере
15,по,O,,,
16,экспериментальным,O,,,
17,данным,O,,,
18,.,O,,,
19,Показано,O,,,
20,",",O,,,
21,что,O,,,
22,методы,B-TERM,Q1799072,{'метод'},"['метод', 'систематизированная совокупность шагов, действий, которые необходимо предпринять, чтобы решить определённую задачу или достичь определённых целей']"
23,символьной,I-TERM,,,
24,регрессии,I-TERM,,,
25,",",O,,,
26,относящиеся,O,,,
27,к,O,,,
28,классу,B-TERM,Q24262840,{'численный метод'},"['численный метод', 'методы решения математических задач в численном виде']"
29,численных,I-TERM,,,
30,методов,I-TERM,,,
31,",",O,,,
32,при,O,,,
33,решении,O,,,
34,задачи,O,,,
35,идентификации,O,,,
36,позволяют,O,,,
37,искать,O,,,
38,не,O,,,
39,только,O,,,
40,значения,B-TERM,Q1413083,{'параметр'},"['параметр', 'переменная выражения, связываемая первой;величина, значения которой служат для различения групп элементов некоторого множества между собой (следует отличать от идентификатора отдельного элемента)']"
41,параметров,I-TERM,,,
42,",",O,,,
43,но,O,,,
44,и,O,,,
45,структуры,B-TERM,Q486902,"{'математический моделирование', 'математический модель'}","['математический моделирование', 'математический модель', 'модель для предсказания численных характеристик']"
46,математических,I-TERM,,,
47,моделей,I-TERM,,,
48,.,O,,,
49,Приведены,O,,,
50,практические,O,,,
51,примеры,O,,,
52,использования,O,,,
53,одного,O,,,
54,из,O,,,
55,методов,B-TERM,Q815844,"{'метод (программирование', 'метод', 'метод (информатика'}","['метод (программирование', 'метод', 'метод (информатика', 'в программировании - функция или процедура, связанная с классом']"
56,символьной,I-TERM,,,
57,регрессии,I-TERM,,,
58,",",O,,,
59,метода,B-TERM,Q11348,"{'морфизм', 'математический функция', 'функциональный зависимость', 'функция', 'отображение', 'преобразование', 'f(x', 'оператор'}","['морфизм', 'математический функция', 'функциональный зависимость', 'функция', 'отображение', 'преобразование', 'f(x', 'оператор', 'математическое бинарное отношение, такое что для каждого элемента слева существует ровно один соответствующий элемент справа']"
60,сетевого,I-TERM,,,
61,оператора,I-TERM,,,
62,",",O,,,
63,для,O,,,
64,решения,O,,,
65,прикладных,O,,,
66,задач,O,,,
67,идентификации,O,,,
68,",",O,,,
69,модели,B-TERM,Q1979154,"{'научный модель', 'эвристический модель', 'параметрический модель', 'структурный модель', 'формализация', 'модель принцип действие', 'модель', 'функционально-физический схема', 'функциональный модель'}","['научный модель', 'эвристический модель', 'параметрический модель', 'структурный модель', 'формализация', 'модель принцип действие', 'модель', 'функционально-физический схема', 'функциональный модель', 'упрощённое представление действительности для экспериментов']"
70,мобильного,I-TERM,,,
71,робота,I-TERM,,,
72,и,O,,,
73,модели,O,,,
74,химической,B-TERM,Q36534,"{'тип химический реакция', 'химический реакция', 'реакция, химический'}",изменение связей между атомами вещества
75,реакции,I-TERM,,,
76,.,O,,,
