id,token,tag,wiki_id,name,desc
0,В,O,,,
1,статье,O,,,
2,рассматривается,O,,,
3,процесс,B-TERM,Q528166,"{'клиент', 'клиентский программа'}","['клиент', 'клиентский программа', 'обращающийся к сервису компонент вычислительной системы']"
4,моделирования,I-TERM,,,
5,поведения,I-TERM,,,
6,клиентов,I-TERM,,,
7,в,O,,,
8,компаниях,O,,,
9,с,O,,,
10,непрерывными,O,,,
11,транзакциями,O,,,
12,на,O,,,
13,бесконтрактной,O,,,
14,основе,O,,,
15,.,O,,,
16,Информационной,B-TERM,Q4161806,"{'труд', 'маяк', 'маяк (хоккейный клуб', 'маяк (хоккейный клуб, краснотурьинск', 'динамо-маяк', 'база'}","['труд', 'маяк', 'маяк (хоккейный клуб', 'маяк (хоккейный клуб, краснотурьинск', 'динамо-маяк', 'база', 'команда по хоккею с мячом из Краснотурьинска, Россия']"
17,базой,I-TERM,,,
18,для,O,,,
19,исследования,B-TERM,Q42240,{'исследование'},семейство животных
20,выступают,O,,,
21,обезличенные,O,,,
22,клиентские,B-TERM,Q494756,"{'поле данные (информатика', 'данные (в информатика', 'информация', 'данные', 'данные (информатика', 'компьютерный данные', 'формальный данные'}","['поле данные (информатика', 'данные (в информатика', 'информация', 'данные', 'данные (информатика', 'компьютерный данные', 'формальный данные', 'формализованные данные для автоматической обработки']"
23,данные,I-TERM,,,
24,сервиса,I-TERM,,,
25,личных,O,,,
26,водителей,O,,,
27,службы,O,,,
28,такси,O,,,
29,.,O,,,
30,Рассмотрено,O,,,
31,регулирование,B-TERM,Q96971903,"{'поток. психология оптимальный переживание', 'поток'}","['поток. психология оптимальный переживание', 'поток', 'книга М. Чиксентмихайи']"
32,клиентского,I-TERM,,,
33,потока,I-TERM,,,
34,в,O,,,
35,рамках,O,,,
36,модели,O,,,
37,Pareto,O,,,
38,/,O,,,
39,NBD,O,,,
40,.,O,,,
41,Модель,O,,,
42,Pareto,O,,,
43,/,O,,,
44,NBD,O,,,
45,позволяет,O,,,
46,оценить,O,,,
47,—,O,,,
48,вероятность,B-TERM,Q978659,"{'техосмотр', 'государственный технический осмотр транспортный средство', 'то'}","['техосмотр', 'государственный технический осмотр транспортный средство', 'то', 'проверка технического состояния транспортных средств (ТС) на предмет их соответствия обязательным требованиям безопасности транспортных средств']"
49,того,I-TERM,,,
50,",",O,,,
51,что,O,,,
52,пользователь,O,,,
53,стал,O,,,
54,неактивным,O,,,
55,;,O,,,
56,количество,O,,,
57,заказов,O,,,
58,",",O,,,
59,которые,O,,,
60,принесет,O,,,
61,случайный,O,,,
62,пользователь,O,,,
63,;,O,,,
64,количество,O,,,
65,заказов,O,,,
66,",",O,,,
67,которое,O,,,
68,принесет,O,,,
69,определенный,O,,,
70,класс,B-TERM,Q187588,"{'социальный класс', 'высокий класс', 'классовый общество', 'общественный класс', 'класс, социальный', 'класс'}","['социальный класс', 'высокий класс', 'классовый общество', 'общественный класс', 'класс, социальный', 'класс', 'выделение в обществе по отношению к собственности на средства производства и общественному разделению труда']"
71,клиентов,I-TERM,,,
72,.,O,,,
73,В,O,,,
74,заключении,O,,,
75,обоснована,O,,,
76,практическая,O,,,
77,значимость,B-TERM,Q16886469,"{'важность', 'значимость'}","['важность', 'значимость', 'субъективный показатель значимости']"
78,моделирования,I-TERM,,,
79,для,O,,,
80,повышения,O,,,
81,качества,O,,,
82,и,O,,,
83,эффективности,B-TERM,Q1060653,"{'обслуживание покупатель', 'обслуживание потребитель', 'обслуживание клиент', 'customer service', 'сервис клиент'}","['обслуживание покупатель', 'обслуживание потребитель', 'обслуживание клиент', 'customer service', 'сервис клиент']"
84,обслуживания,I-TERM,,,
85,клиентов,I-TERM,,,
86,.,O,,,
