id,token,tag,wiki_id,name,desc
0,Приведены,O,,,
1,результаты,B-TERM,Q7754,"{'матанализ', 'математический анализ', 'анализ'}","['матанализ', 'математический анализ', 'анализ', 'современный раздел математики']"
2,сравнительного,I-TERM,,,
3,анализа,I-TERM,,,
4,практически,O,,,
5,востребованных,O,,,
6,методов,B-TERM,Q192445,{'триангуляция делон'},['триангуляция делон']
7,триангуляции,I-TERM,,,
8,Делоне,I-TERM,,,
9,",",O,,,
10,обладающих,O,,,
11,высоким,O,,,
12,быстродействием,O,,,
13,и,O,,,
14,низкой,O,,,
15,ресурсоемкостью,O,,,
16,.,O,,,
17,Обосновывается,O,,,
18,практическая,O,,,
19,целесообразность,O,,,
20,выбора,O,,,
21,двухпроходных,B-TERM,Q192445,{'триангуляция делон'},['триангуляция делон']
22,методов,I-TERM,,,
23,триангуляции,I-TERM,,,
24,Делоне,I-TERM,,,
25,для,O,,,
26,формирования,O,,,
27,трехмерных,O,,,
28,фрактальных,O,,,
29,объектов,O,,,
30,и,O,,,
31,предложена,O,,,
32,модификация,O,,,
33,двухпроходного,B-TERM,Q8366,{'алгоритм'},"['алгоритм', 'набор инструкций, описывающих порядок действий исполнителя для достижения результата решения задачи']"
34,веерного,I-TERM,,,
35,алгоритма,I-TERM,,,
36,.,O,,,
