id,token,tag,wiki_id,name,desc
0,В,O,,,
1,работе,O,,,
2,рассмотрены,O,,,
3,вопросы,B-TERM,Q189756,{'вопрос'},"['вопрос', 'форма мысли, выраженная в основном языке предложением,когда хотят получить интересующую информацию']"
4,управления,I-TERM,,,
5,ориентацией,O,,,
6,прыгающего,O,,,
7,колесного,O,,,
8,робота,B-TERM,Q7353319,"{'руди коннерс', 'робот'}",вид моллюсков
9,при,O,,,
10,прыжках,O,,,
11,по,O,,,
12,наклонным,O,,,
13,поверхностям,B-TERM,Q484298,"{'двумерный многообразие', 'поверхность', 'простой кусок поверхность'}",двумерное многообразие
14,.,O,,,
15,Для,O,,,
16,этого,O,,,
17,разработана,O,,,
18,обобщенная,O,,,
19,математическая,B-TERM,Q486902,"{'математический моделирование', 'математический модель'}","['математический моделирование', 'математический модель', 'модель для предсказания численных характеристик']"
20,модель,I-TERM,,,
21,устройства,I-TERM,,,
22,",",O,,,
23,а,O,,,
24,также,O,,,
25,модель,O,,,
26,движения,O,,,
27,робота,B-TERM,Q1249604,{'робот'},эпизод «Доктора Кто»
28,во,O,,,
29,время,O,,,
30,полета,O,,,
31,",",O,,,
32,для,O,,,
33,построения,O,,,
34,траектории,O,,,
35,полета,O,,,
36,используется,O,,,
37,решение,B-TERM,Q984063,"{'оптимизационный задача', 'задача оптимизация'}","['оптимизационный задача', 'задача оптимизация', 'задача нахождения самого лучшего решения']"
38,оптимизационной,I-TERM,,,
39,задачи,I-TERM,,,
40,",",O,,,
41,сведенной,O,,,
42,к,O,,,
43,задаче,B-TERM,Q290117,{'квадратичный программирование'},['квадратичный программирование']
44,квадратичного,I-TERM,,,
45,программирования,I-TERM,,,
46,.,O,,,
47,Выявлены,O,,,
48,закономерности,B-TERM,Q4184950,{'закономерность'},страница значений
49,изменения,O,,,
50,времени,O,,,
51,полета,O,,,
52,",",O,,,
53,а,O,,,
54,также,O,,,
55,угловых,B-TERM,Q161635,"{'частота вращение', 'угловой скорость'}","['частота вращение', 'угловой скорость', 'векторная величина, характеризующая скорость вращения материальной точки вокруг центра вращения']"
56,скоростей,I-TERM,,,
57,вращения,I-TERM,,,
58,колес,I-TERM,,,
59,и,O,,,
60,генерирующих,O,,,
61,их,O,,,
62,моментов,O,,,
63,приводов,O,,,
64,от,O,,,
65,углов,O,,,
66,наклона,B-TERM,Q2050624,"{'наклон', 'тангаж'}","['наклон', 'тангаж']"
67,поверхностей,I-TERM,,,
68,отрыва,I-TERM,,,
69,и,O,,,
70,приземления,O,,,
71,.,O,,,
