id,token,tag,wiki_id,name,desc
0,Предложена,O,,,
1,методика,O,,,
2,вероятностного,B-TERM,Q2513962,"{'ас', 'автоматизированный система управление'}","['ас', 'автоматизированный система управление']"
3,прогнозирования,I-TERM,,,
4,технического,I-TERM,,,
5,состояния,I-TERM,,,
6,информационной,I-TERM,,,
7,компоненты,I-TERM,,,
8,автоматизированных,I-TERM,,,
9,систем,I-TERM,,,
10,управления,I-TERM,,,
11,противопожарной,I-TERM,,,
12,защитой,I-TERM,,,
13,",",O,,,
14,применяемых,O,,,
15,в,O,,,
16,нефтехимической,O,,,
17,отрасли,O,,,
18,.,O,,,
19,Даны,B-TERM,Q4154035,"{'давать (чечня', 'давать'}","['давать (чечня', 'давать', 'село в Шатойском районе Чечни России']"
20,постановка,I-TERM,,,
21,и,O,,,
22,решение,O,,,
23,задачи,O,,,
24,",",O,,,
25,положенные,O,,,
26,в,O,,,
27,основу,O,,,
28,методики,O,,,
29,.,O,,,
30,Приводятся,O,,,
31,интерфейс,B-TERM,Q23808,{'интерфейс'},"['интерфейс', 'граница раздела двух систем, устройств или программ, определённая их характеристиками, характеристиками соединения']"
32,разработанной,I-TERM,,,
33,про,I-TERM,,,
34,граммы,B-TERM,Q41803,"{'грамм', 'г'}","['грамм', 'г', 'единица измерения массы, одна из основных в СГС']"
35,расчета,I-TERM,,,
36,по,O,,,
37,предложенной,O,,,
38,методике,O,,,
39,.,O,,,
40,Приводится,O,,,
41,типовой,O,,,
42,пример,B-TERM,Q12335479,"{'калька', 'образец', 'копирка', 'шаблон', 'пример', 'копия'}","['калька', 'образец', 'копирка', 'шаблон', 'пример', 'копия', 'инструмент для создания нового предмета, который принимает (наследует) его свойства']"
43,расчета,I-TERM,,,
44,с,O,,,
45,иллюстрацией,O,,,
46,полученного,O,,,
47,решения,O,,,
48,.,O,,,
