id,token,tag,wiki_id,name,desc
0,Рассмотрены,O,,,
1,вопросы,O,,,
2,",",O,,,
3,связанные,O,,,
4,с,O,,,
5,эффективностью,O,,,
6,декодирования,B-TERM,Q16676118,{'метод коррекция ошибка'},['метод коррекция ошибка']
7,многопороговых,I-TERM,,,
8,методов,I-TERM,,,
9,коррекции,I-TERM,,,
10,ошибок,I-TERM,,,
11,в,O,,,
12,типичных,O,,,
13,многолучевых,O,,,
14,каналах,O,,,
15,связи,O,,,
16,с,O,,,
17,замираниями,O,,,
18,.,O,,,
19,Проведено,O,,,
20,исследование,B-TERM,Q31208391,"{'свойство', 'характеристика', 'атрибут', 'предикат', 'параметр'}","['свойство', 'характеристика', 'атрибут', 'предикат', 'параметр', 'позиция в RDF triple, часть от RDF; между субъектом и объектом есть определённое отношение, выраженное предикатом; направленное отношение']"
21,характеристик,I-TERM,,,
22,при,O,,,
23,совместном,O,,,
24,использовании,B-TERM,Q69406938,"{'эксплуатация', 'применение', 'использование'}","['эксплуатация', 'применение', 'использование', 'стадия жижненного цикла системы, на которой система используется по назначению']"
25,многопорогового,I-TERM,,,
26,декодера,I-TERM,,,
27,и,O,,,
28,OFDM,B-TERM,Q2370,"{'си диез', 'c', 'си-диез', 'си-шарп', 'си шарп', 'c?', 'c sharp'}","['си диез', 'c', 'си-диез', 'си-шарп', 'си шарп', 'c?', 'c sharp', 'объектно-ориентированный язык программирования']"
29,c,I-TERM,,,
30,различными,O,,,
31,характеристиками,O,,,
32,.,O,,,
33,Показано,O,,,
34,",",O,,,
35,что,O,,,
36,многопороговые,O,,,
37,декодеры,O,,,
38,способны,O,,,
39,обеспечивать,O,,,
40,достаточно,O,,,
41,высокую,O,,,
42,достоверность,O,,,
43,передаваемых,B-TERM,Q494756,"{'поле данные (информатика', 'данные (в информатика', 'информация', 'данные', 'данные (информатика', 'компьютерный данные', 'формальный данные'}","['поле данные (информатика', 'данные (в информатика', 'информация', 'данные', 'данные (информатика', 'компьютерный данные', 'формальный данные', 'формализованные данные для автоматической обработки']"
44,данных,I-TERM,,,
45,при,I-TERM,,,
46,большом,O,,,
47,количестве,O,,,
48,ошибок,O,,,
49,.,O,,,
