id,token,tag,wiki_id,name,desc
0,Работа,O,,,
1,является,O,,,
2,продолжением,B-TERM,Q87332419,"{'автор', 'тэ1/автор'}","['автор', 'тэ1/автор', 'статья в Технической энциклопедии, 1-м изд.']"
3,исследований,I-TERM,,,
4,авторов,I-TERM,,,
5,.,O,,,
6,В,O,,,
7,статье,O,,,
8,рассматривается,O,,,
9,выборка,B-TERM,Q164304,"{'сделка', 'пан или пропадать', 'сделка?!'}","['сделка', 'пан или пропадать', 'сделка?!', 'формат игрового денежного телевизионного шоу']"
10,инвестиционных,I-TERM,,,
11,сделок,I-TERM,,,
12,в,O,,,
13,российские,O,,,
14,инновационные,O,,,
15,компании,O,,,
16,и,O,,,
17,основные,O,,,
18,детерминанты,B-TERM,Q4330556,"{'объем', 'объем (геометрия'}","['объем', 'объем (геометрия', 'аддитивная функция от множества (мера), характеризующая вместимость области пространства, которую оно занимает']"
19,объема,I-TERM,,,
20,инвестиций,I-TERM,,,
21,на,O,,,
22,втором,O,,,
23,раунде,O,,,
24,.,O,,,
25,Исследуется,O,,,
26,зависимость,B-TERM,Q4330556,"{'объем', 'объем (геометрия'}","['объем', 'объем (геометрия', 'аддитивная функция от множества (мера), характеризующая вместимость области пространства, которую оно занимает']"
27,объема,I-TERM,,,
28,инвестиций,I-TERM,,,
29,от,O,,,
30,величины,B-TERM,Q614112,"{'величина', 'числовой значение', 'количество', 'числовой величина', 'число', 'численный величина', 'значение'}","['величина', 'числовой значение', 'количество', 'числовой величина', 'число', 'численный величина', 'значение', 'физическая величина или вычисленное значение']"
31,предшествующего,I-TERM,,,
32,раунда,I-TERM,,,
33,",",O,,,
34,темпов,O,,,
35,роста,O,,,
36,целевого,O,,,
37,рынка,O,,,
38,",",O,,,
39,наличия,O,,,
40,в,O,,,
41,проекте,O,,,
42,опытных,O,,,
43,инвесторов,O,,,
44,.,O,,,
45,Новым,O,,,
46,результатом,O,,,
47,является,O,,,
48,исследование,B-TERM,Q4290,"{'инвестмент', 'капиталовложение', 'инвестирование', 'инвестиция', 'инвестиционный программа'}","['инвестмент', 'капиталовложение', 'инвестирование', 'инвестиция', 'инвестиционный программа', 'Вложение капитала с целью получения прибыли']"
49,вероятности,I-TERM,,,
50,получения,I-TERM,,,
51,инвестиций,I-TERM,,,
52,во,O,,,
53,втором,O,,,
54,раунде,O,,,
55,от,O,,,
56,параметров,B-TERM,Q1413083,{'параметр'},"['параметр', 'переменная выражения, связываемая первой;величина, значения которой служат для различения групп элементов некоторого множества между собой (следует отличать от идентификатора отдельного элемента)']"
57,компании,I-TERM,,,
58,первого,I-TERM,,,
59,раунда,I-TERM,,,
60,.,O,,,
