id,token,tag,wiki_id,name,desc
0,Приведены,O,,,
1,результаты,B-TERM,Q17104930,"{'исход', 'результат'}","['исход', 'результат', 'возможный результат эксперимента']"
2,сравнительного,I-TERM,,,
3,анализа,I-TERM,,,
4,общих,I-TERM,,,
5,черт,I-TERM,,,
6,резидентных,I-TERM,,,
7,и,I-TERM,,,
8,нерезидентных,O,,,
9,вирусов,O,,,
10,с,O,,,
11,точки,B-TERM,Q9143,{'язык программирование'},"['язык программирование', 'язык для записи и хранения компьютерных программ']"
12,зрения,I-TERM,,,
13,языка,I-TERM,,,
14,программирования,I-TERM,,,
15,Assembler,I-TERM,,,
16,.,O,,,
17,Кроме,O,,,
18,того,O,,,
19,",",O,,,
20,всесторонне,O,,,
21,проанализированы,O,,,
22,методы,B-TERM,Q1799072,{'метод'},"['метод', 'систематизированная совокупность шагов, действий, которые необходимо предпринять, чтобы решить определённую задачу или достичь определённых целей']"
23,противодействия,I-TERM,,,
24,изучению,O,,,
25,следов,O,,,
26,вредоносного,B-TERM,Q128751,"{'код', 'исходник', 'исходный текст', 'листинг', 'исходный код', 'программный код'}","['код', 'исходник', 'исходный текст', 'листинг', 'исходный код', 'программный код', 'Текст компьютерной программы на каком-либо языке программирования или языке разметки.']"
27,программного,I-TERM,,,
28,кода,I-TERM,,,
29,в,O,,,
30,дампах,B-TERM,Q11140433,"{'память с произвольный доступ', 'оперативка', 'оперативный память', 'память', 'озу'}","['память с произвольный доступ', 'оперативка', 'оперативный память', 'память', 'озу', 'энергозависимая часть системы компьютерной памяти']"
31,оперативной,I-TERM,,,
32,памяти,I-TERM,,,
33,.,O,,,
34,На,O,,,
35,основе,O,,,
36,результатов,O,,,
37,проведенных,O,,,
38,исследований,B-TERM,Q42240,{'исследование'},семейство животных
39,в,O,,,
40,работе,O,,,
41,также,O,,,
42,выполнен,O,,,
43,анализ,B-TERM,Q7754,"{'матанализ', 'математический анализ', 'анализ'}","['матанализ', 'математический анализ', 'анализ', 'современный раздел математики']"
44,обнаруженного,I-TERM,,,
45,вредоносного,O,,,
46,программного,B-TERM,Q7397,"{'по', 'софт', 'программный обеспечение'}",неаппаратная часть информационной системы
47,обеспечения,I-TERM,,,
48,и,O,,,
49,изучение,O,,,
50,оставленных,O,,,
51,им,O,,,
52,следов,O,,,
53,",",O,,,
54,а,O,,,
55,также,O,,,
56,даны,B-TERM,Q373498,"{'давать (разряд', 'давать'}",уровень мастерства в некоторых видах спорта
57,рекомендации,O,,,
58,",",O,,,
59,которые,O,,,
60,позволят,O,,,
61,существенно,O,,,
62,сократить,O,,,
63,время,O,,,
64,специалиста,O,,,
65,при,O,,,
66,проведении,O,,,
67,подобных,O,,,
68,мероприятий,O,,,
69,.,O,,,
